Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
3-June-2026,4001.60,4008.00,3895.00,3953.90,3938.078869644484958979,82275,12575,324005439.00,36769,44.69,113.00,-47.70
2-June-2026,3994.10,4015.75,3925.00,4001.60,3964.258040615633314249,59386,5759,235421428.00,28187,47.46,90.75,7.50
1-June-2026,4097.00,4104.75,4003.75,4009.35,4045.127358622424733737,71546,8241,289412682.00,33832,47.29,101.00,-87.65
29-May-2026,4059.80,4128.00,4045.00,4076.65,4093.289509730981302887,143819,11238,588692804.00,88310,61.40,83.00,16.85
27-May-2026,4048.90,4069.00,4016.75,4045.80,4026.273199360125141159,1411526,25617,5683189304.00,1209083,85.66,52.25,-3.10
26-May-2026,4031.00,4052.00,4012.65,4037.70,4036.130960622225841918,49114,5014,198230536.00,24247,49.37,39.35,6.70
25-May-2026,3960.35,4037.50,3960.35,4033.30,4017.063399327346485905,173046,15449,695136753.00,110838,64.05,77.15,72.95
22-May-2026,3909.00,3959.25,3900.60,3926.85,3942.698076417934573962,98982,13390,390256141.00,71237,71.97,58.65,17.85
21-May-2026,3920.00,3963.40,3913.05,3928.20,3937.604663793318219188,200695,18461,790257568.00,38637,19.25,50.35,8.20
20-May-2026,3900.00,3943.65,3884.40,3912.15,3916.835750726959307690,57431,6977,224947794.00,16242,28.28,59.25,12.15
19-May-2026,3935.50,3958.95,3903.60,3918.00,3934.774289657958524104,59408,6776,233757071.00,37063,62.39,55.35,-17.50
18-May-2026,3893.55,3924.75,3853.00,3918.95,3904.991340288030307250,287192,7057,1121482273.00,249455,86.86,71.75,25.40
15-May-2026,3963.75,3963.75,3894.15,3907.50,3931.825133004981692421,354498,7773,1393824146.00,312099,88.04,69.60,-56.25
14-May-2026,3945.25,3987.45,3925.00,3941.05,3953.504420331339122226,686487,36880,2714029389.00,295619,43.06,62.45,-4.20
13-May-2026,3840.40,3953.00,3840.40,3916.70,3867.711698853528240677,793129,16053,3067594312.00,709602,89.47,112.60,76.30
