Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
2-August-2021,1614.85,1618.0,1602.85,1613.7,1612.4006958864131,35638,2552,57462736.0,15610,43.8,15.15,-1.15
3-August-2021,1620.0,1638.55,1610.7,1633.15,1625.8259952793076,63550,3499,103321242.0,31823,50.08,27.85,13.15
4-August-2021,1634.7,1643.5,1613.9,1622.55,1625.9954595971917,73782,4811,119969197.0,43598,59.09,29.6,-12.15
5-August-2021,1623.9,1632.45,1609.35,1626.65,1619.774611794738,202921,3426,328686284.0,120192,59.23,23.1,2.75
6-August-2021,1629.5,1638.85,1606.35,1609.75,1618.7309167367537,59450,2863,96233553.0,23279,39.16,32.5,-19.75
9-August-2021,1620.0,1623.75,1590.55,1597.85,1606.9776883904333,50467,2784,81099343.0,22749,45.08,33.2,-22.15
10-August-2021,1603.15,1609.25,1571.05,1587.15,1592.2637412432143,110343,6341,175695158.0,34569,31.33,38.2,-16.0
11-August-2021,1589.0,1597.75,1563.3,1585.5,1576.7953949646335,40434,3074,63756145.0,13545,33.5,34.45,-3.5
12-August-2021,1585.0,1626.8,1582.0,1622.4,1611.8611737123333,110044,6255,177375651.0,71097,64.61,44.8,37.4
13-August-2021,1626.0,1676.0,1625.0,1667.45,1659.6461780019595,233739,12003,387924038.0,139304,59.6,51.0,41.45
16-August-2021,1671.25,1676.7,1654.0,1656.35,1661.2756091520453,52491,3341,87202018.0,19868,37.85,22.7,-14.9
17-August-2021,1656.5,1664.8,1625.9,1638.2,1643.2281461848208,78476,6289,128953972.0,29930,38.14,38.9,-18.3
18-August-2021,1644.0,1660.85,1627.3,1631.65,1642.1282037562203,56067,3151,92069202.0,23968,42.75,33.55,-12.35
20-August-2021,1620.0,1623.0,1590.0,1593.5,1601.297996279564,94075,9613,150642109.0,36919,39.24,33.0,-26.5
23-August-2021,1603.8,1617.85,1568.3,1581.0,1592.5670094288057,58544,3990,93235243.0,19551,33.4,49.55,-22.8
24-August-2021,1580.0,1613.15,1580.0,1607.95,1600.4286705416196,194583,7834,311416212.0,112437,57.78,33.15,27.95
25-August-2021,1617.9,1625.15,1590.0,1593.4,1602.579412214696,71897,6043,115220652.0,37400,52.02,35.15,-24.5
26-August-2021,1597.9,1602.85,1586.0,1595.25,1591.0539505413967,317235,5339,504738000.0,221801,69.92,16.85,-2.65
27-August-2021,1600.0,1665.95,1599.0,1637.65,1643.6505081666069,200328,9758,329269219.0,84350,42.11,66.95,37.65
30-August-2021,1651.5,1684.8,1645.0,1659.85,1666.8540768071507,115458,6719,192451638.0,59593,51.61,39.8,8.35
31-August-2021,1663.4,1676.0,1645.85,1671.4,1664.938415091361,253390,5242,421878745.0,195152,77.02,30.15,8.0
1-September-2021,1678.0,1717.9,1673.65,1686.6,1697.6967353064967,125923,6793,213779066.0,54690,43.43,44.25,8.6
2-September-2021,1686.6,1709.95,1682.35,1685.6,1690.6600194788475,267983,12118,453068144.0,220693,82.35,27.6,-1.0
3-September-2021,1697.0,1704.35,1672.25,1686.55,1686.2150410701133,283783,4803,478519163.0,201063,70.85,32.1,-10.45
6-September-2021,1704.0,1716.0,1690.0,1694.9,1696.429184836704,224041,5079,380069691.0,149092,66.55,26.0,-9.1
7-September-2021,1694.9,1704.85,1678.0,1680.35,1686.053055827265,110412,6167,186160490.0,73812,66.85,26.85,-14.55
8-September-2021,1685.0,1694.05,1658.1,1665.85,1671.1461522215182,89961,4358,150337979.0,53142,59.07,35.95,-19.15
9-September-2021,1664.4,1680.5,1657.2,1669.55,1668.0983567996236,59518,3055,99281878.0,34787,58.45,23.3,5.15
13-September-2021,1665.0,1675.75,1661.2,1671.65,1669.8480980423365,31415,2353,52458278.0,14375,45.76,14.55,6.65
